id_venda,data,mes,trimestre,cliente,tipo_cliente,tempo_relacionamento_meses,faixa_renda,segmento,produto,categoria,marca,linha_produto,quantidade,preco_unitario,desconto,receita,custo_unitario,lucro,regiao,cidade,canal_venda,vendedor,meta_venda,atingiu_meta,prazo_entrega_dias,status_entrega
1,2024-12-14,12,4,Cliente_150,Novo,1,Média,Varejo,Mouse,Periféricos,Beta,Padrão,5,4697.12,0.18,19258.192,3172.26,3396.891999999998,Norte,Manaus,Online,Vendedor_02,24931.11,Não,9,Atrasado
2,2024-03-09,3,1,Cliente_109,Novo,0,Alta,Varejo,Smartphone,Telefonia,Delta,Padrão,10,506.54,0.12,4457.552000000001,307.66,1380.9520000000002,Norte,Manaus,Online,Vendedor_08,5780.24,Não,13,Atrasado
3,2024-02-14,2,1,Cliente_108,Novo,5,Média,Varejo,Notebook,Informática,Delta,Econômico,1,470.34,0.23,362.1618,289.38,72.78179999999998,Nordeste,Salvador,Online,Vendedor_19,554.46,Não,8,Atrasado
4,2024-07-20,7,3,Cliente_141,Recorrente,15,Baixa,Varejo,Teclado,Periféricos,Beta,Econômico,6,4524.52,0.21,21446.224800000004,2723.57,5104.804800000002,Sul,Curitiba,Online,Vendedor_20,30872.49,Não,10,Atrasado
5,2024-07-11,7,3,Cliente_150,Recorrente,17,Média,Atacado,Monitor,Informática,Delta,Premium,8,3178.6,0.17,21105.904,2543.4,758.7039999999979,Sul,Porto Alegre,Loja,Vendedor_10,24448.64,Não,14,Atrasado
6,2024-05-31,5,2,Cliente_127,Recorrente,29,Alta,Atacado,Monitor,Informática,Beta,Premium,8,2144.64,0.11,15269.8368,1309.53,4793.596799999999,Nordeste,Salvador,Loja,Vendedor_10,18388.79,Não,6,No prazo
7,2024-01-20,1,1,Cliente_126,Recorrente,28,Baixa,Atacado,Smartphone,Outros,Alpha,Premium,5,2760.83,0.16,11595.486,1770.22,2744.3859999999986,Sudeste,São Paulo,Online,Vendedor_03,14324.95,Não,2,No prazo
8,2024-05-10,5,2,Cliente_024,Recorrente,20,Baixa,Atacado,Mouse,Periféricos,Gamma,Premium,10,5446.03,0.19,44112.843,3116.11,12951.743,Centro-Oeste,Brasília,Loja,Vendedor_03,55981.71,Não,6,No prazo
9,2024-12-15,12,4,Cliente_099,Recorrente,44,Alta,Atacado,Notebook,Informática,Gamma,Premium,8,3175.6,0.0,25404.8,2114.8,8486.399999999998,Sul,Porto Alegre,Online,Vendedor_15,28270.93,Não,13,Atrasado
10,2024-11-11,11,4,Cliente_197,Novo,3,Baixa,Atacado,Mouse,Periféricos,Beta,Premium,4,4201.27,0.17,13948.2164,3706.31,-877.0235999999986,Norte,Belém,Online,Vendedor_08,18397.12,Não,12,Atrasado
11,2024-02-09,2,1,Cliente_141,Recorrente,4,Média,Atacado,Headset,Periféricos,Delta,Padrão,9,5221.71,0.11,41825.8971,2910.85,15628.247100000004,Norte,Manaus,Online,Vendedor_14,54118.48,Não,13,Atrasado
12,2024-05-15,5,2,Cliente_046,Novo,1,Baixa,Varejo,Teclado,Periféricos,Delta,Padrão,9,645.94,0.1,5232.114000000001,529.39,467.6040000000012,Sudeste,São Paulo,Online,Vendedor_08,5797.93,Não,6,No prazo
13,2024-09-09,9,3,Cliente_038,Recorrente,23,Baixa,Atacado,Notebook,Informática,Delta,Premium,5,1059.77,0.11,4715.976500000001,705.77,1187.1265000000008,Nordeste,Recife,Loja,Vendedor_20,5499.19,Não,7,No prazo
14,2024-12-15,12,4,Cliente_144,Recorrente,39,Alta,Atacado,Mouse,Periféricos,Beta,Premium,9,4810.09,0.05,41126.2695,3363.06,10858.729499999994,Sul,Curitiba,Loja,Vendedor_13,42444.58,Não,6,No prazo
15,2024-06-24,6,2,Cliente_054,Novo,5,Baixa,Atacado,Headset,Periféricos,Alpha,Padrão,2,5263.98,0.12,9264.6048,3214.32,2835.964799999999,Sudeste,São Paulo,Online,Vendedor_04,11740.49,Não,6,No prazo
16,2024-08-13,8,3,Cliente_158,Novo,5,Média,Varejo,Mouse,Periféricos,Alpha,Econômico,5,3979.79,0.09,18108.0445,2100.14,7607.344500000001,Norte,Manaus,Online,Vendedor_07,20462.32,Não,12,Atrasado
17,2024-07-18,7,3,Cliente_032,Recorrente,22,Média,Varejo,Headset,Periféricos,Beta,Premium,9,326.11,0.13,2553.4413000000004,261.9,196.3413000000005,Centro-Oeste,Brasília,Loja,Vendedor_15,3468.8,Não,7,No prazo
18,2024-10-15,10,4,Cliente_088,Novo,5,Alta,Atacado,Impressora,Informática,Delta,Padrão,3,4984.44,0.03,14504.7204,4369.98,1394.7804000000017,Norte,Manaus,Loja,Vendedor_06,16414.97,Não,2,No prazo
19,2024-12-18,12,4,Cliente_077,Novo,2,Alta,Varejo,Notebook,Informática,Beta,Premium,9,3302.09,0.0,29718.81,2203.7,9885.510000000002,Centro-Oeste,Goiânia,Loja,Vendedor_17,31098.64,Não,8,Atrasado
20,2024-01-02,1,1,Cliente_195,Novo,0,Alta,Varejo,Mouse,Periféricos,Beta,Padrão,7,3339.21,0.12,20569.5336,2367.62,3996.1936000000014,Nordeste,Recife,Online,Vendedor_13,27940.43,Não,2,No prazo
21,2024-11-10,11,4,Cliente_072,Novo,2,Baixa,Atacado,Monitor,Informática,Beta,Premium,2,2693.86,0.21,4256.2988000000005,2121.93,12.43880000000081,Sudeste,Rio de Janeiro,Loja,Vendedor_07,5923.75,Não,11,Atrasado
22,2024-11-06,11,4,Cliente_027,Novo,2,Baixa,Varejo,Mouse,Periféricos,Delta,Premium,9,1055.12,0.07,8831.354399999998,542.55,3948.404399999999,Centro-Oeste,Brasília,Loja,Vendedor_07,10887.32,Não,2,No prazo
23,2024-01-10,1,1,Cliente_089,Recorrente,47,Alta,Varejo,Mouse,Periféricos,Beta,Padrão,1,456.64,0.01,452.0736,255.62,196.4536,Sul,Curitiba,Online,Vendedor_13,506.42,Não,1,No prazo
24,2024-10-23,10,4,Cliente_102,Novo,4,Alta,Atacado,Monitor,Informática,Delta,Econômico,6,2041.63,0.24,9309.8328,1502.92,292.3127999999997,Sudeste,Rio de Janeiro,Loja,Vendedor_03,11912.68,Não,12,Atrasado
25,2024-05-15,5,2,Cliente_038,Recorrente,29,Alta,Atacado,Tablet,Informática,Beta,Econômico,2,2093.2,0.03,4060.808,1249.98,1560.8479999999995,Norte,Manaus,Loja,Vendedor_05,4208.09,Não,3,No prazo
26,2024-04-15,4,2,Cliente_055,Recorrente,14,Baixa,Varejo,Tablet,Informática,Alpha,Econômico,1,5482.9,0.1,4934.61,4630.09,304.5199999999995,Norte,Manaus,Loja,Vendedor_07,5675.42,Não,8,Atrasado
27,2024-08-18,8,3,Cliente_016,Recorrente,32,Baixa,Atacado,Teclado,Periféricos,Beta,Premium,2,1345.97,0.18,2207.3908,847.31,512.7708000000002,Centro-Oeste,Brasília,Loja,Vendedor_19,2984.84,Não,2,No prazo
28,2024-12-19,12,4,Cliente_156,Recorrente,9,Baixa,Varejo,Headset,Periféricos,Beta,Premium,1,4159.1,0.19,3368.8710000000005,3033.53,335.34100000000035,Nordeste,Salvador,Online,Vendedor_06,4939.25,Não,2,No prazo
29,2024-11-07,11,4,Cliente_133,Recorrente,21,Alta,Atacado,Tablet,Informática,Delta,Premium,7,4982.31,0.09,31737.314700000006,2704.15,12808.264700000009,Norte,Manaus,Online,Vendedor_18,36108.12,Não,3,No prazo
30,2024-12-25,12,4,Cliente_116,Novo,5,Alta,Varejo,Notebook,Informática,Beta,Econômico,9,3050.7,0.1,24710.67,2651.18,850.0499999999993,Centro-Oeste,Goiânia,Online,Vendedor_15,29145.62,Não,14,Atrasado
31,2024-07-24,7,3,Cliente_064,Recorrente,3,Alta,Atacado,Mouse,Periféricos,Beta,Premium,1,4489.36,0.15,3815.956,3943.95,-127.99400000000014,Centro-Oeste,Brasília,Online,Vendedor_15,4945.98,Não,9,Atrasado
32,2024-03-14,3,1,Cliente_172,Recorrente,45,Baixa,Varejo,Tablet,Informática,Delta,Econômico,8,948.52,0.07,7056.988799999999,488.17,3151.628799999999,Sudeste,Rio de Janeiro,Loja,Vendedor_03,8216.26,Não,7,No prazo
33,2024-01-16,1,1,Cliente_036,Novo,4,Média,Atacado,Monitor,Informática,Gamma,Econômico,3,4349.95,0.05,12397.357499999998,2640.57,4475.647499999997,Nordeste,Recife,Online,Vendedor_04,12101.26,Sim,6,No prazo
34,2024-09-24,9,3,Cliente_104,Recorrente,48,Alta,Atacado,Headset,Periféricos,Delta,Econômico,7,4103.21,0.1,25850.223,2789.52,6323.583000000002,Nordeste,Salvador,Loja,Vendedor_07,25940.56,Não,9,Atrasado
