id_tempo,data,ano,mes,nome_mes,trimestre,semestre,dia,dia_semana
20240101,2024-01-01,2024,1,January,1,1,1,Monday
20240102,2024-01-02,2024,1,January,1,1,2,Tuesday
20240103,2024-01-03,2024,1,January,1,1,3,Wednesday
20240104,2024-01-04,2024,1,January,1,1,4,Thursday
20240105,2024-01-05,2024,1,January,1,1,5,Friday
20240106,2024-01-06,2024,1,January,1,1,6,Saturday
20240107,2024-01-07,2024,1,January,1,1,7,Sunday
20240108,2024-01-08,2024,1,January,1,1,8,Monday
20240109,2024-01-09,2024,1,January,1,1,9,Tuesday
20240110,2024-01-10,2024,1,January,1,1,10,Wednesday
20240111,2024-01-11,2024,1,January,1,1,11,Thursday
20240112,2024-01-12,2024,1,January,1,1,12,Friday
20240113,2024-01-13,2024,1,January,1,1,13,Saturday
20240114,2024-01-14,2024,1,January,1,1,14,Sunday
20240115,2024-01-15,2024,1,January,1,1,15,Monday
20240116,2024-01-16,2024,1,January,1,1,16,Tuesday
20240117,2024-01-17,2024,1,January,1,1,17,Wednesday
20240118,2024-01-18,2024,1,January,1,1,18,Thursday
20240119,2024-01-19,2024,1,January,1,1,19,Friday
20240120,2024-01-20,2024,1,January,1,1,20,Saturday
20240121,2024-01-21,2024,1,January,1,1,21,Sunday
20240122,2024-01-22,2024,1,January,1,1,22,Monday
20240123,2024-01-23,2024,1,January,1,1,23,Tuesday
20240124,2024-01-24,2024,1,January,1,1,24,Wednesday
20240125,2024-01-25,2024,1,January,1,1,25,Thursday
20240126,2024-01-26,2024,1,January,1,1,26,Friday
20240127,2024-01-27,2024,1,January,1,1,27,Saturday
20240128,2024-01-28,2024,1,January,1,1,28,Sunday
20240129,2024-01-29,2024,1,January,1,1,29,Monday
20240130,2024-01-30,2024,1,January,1,1,30,Tuesday
20240131,2024-01-31,2024,1,January,1,1,31,Wednesday
20240201,2024-02-01,2024,2,February,1,1,1,Thursday
20240202,2024-02-02,2024,2,February,1,1,2,Friday
20240203,2024-02-03,2024,2,February,1,1,3,Saturday
20240204,2024-02-04,2024,2,February,1,1,4,Sunday
20240205,2024-02-05,2024,2,February,1,1,5,Monday
20240207,2024-02-07,2024,2,February,1,1,7,Wednesday
20240208,2024-02-08,2024,2,February,1,1,8,Thursday
20240209,2024-02-09,2024,2,February,1,1,9,Friday
20240210,2024-02-10,2024,2,February,1,1,10,Saturday
20240211,2024-02-11,2024,2,February,1,1,11,Sunday
20240212,2024-02-12,2024,2,February,1,1,12,Monday
20240213,2024-02-13,2024,2,February,1,1,13,Tuesday
20240214,2024-02-14,2024,2,February,1,1,14,Wednesday
20240215,2024-02-15,2024,2,February,1,1,15,Thursday
20240216,2024-02-16,2024,2,February,1,1,16,Friday
20240217,2024-02-17,2024,2,February,1,1,17,Saturday
20240218,2024-02-18,2024,2,February,1,1,18,Sunday
20240219,2024-02-19,2024,2,February,1,1,19,Monday
20240221,2024-02-21,2024,2,February,1,1,21,Wednesday
20240222,2024-02-22,2024,2,February,1,1,22,Thursday
20240223,2024-02-23,2024,2,February,1,1,23,Friday
20240224,2024-02-24,2024,2,February,1,1,24,Saturday
20240225,2024-02-25,2024,2,February,1,1,25,Sunday
20240226,2024-02-26,2024,2,February,1,1,26,Monday
20240228,2024-02-28,2024,2,February,1,1,28,Wednesday
20240229,2024-02-29,2024,2,February,1,1,29,Thursday
20240301,2024-03-01,2024,3,March,1,1,1,Friday
20240302,2024-03-02,2024,3,March,1,1,2,Saturday
20240303,2024-03-03,2024,3,March,1,1,3,Sunday
20240305,2024-03-05,2024,3,March,1,1,5,Tuesday
20240306,2024-03-06,2024,3,March,1,1,6,Wednesday
20240308,2024-03-08,2024,3,March,1,1,8,Friday
20240309,2024-03-09,2024,3,March,1,1,9,Saturday
20240310,2024-03-10,2024,3,March,1,1,10,Sunday
20240311,2024-03-11,2024,3,March,1,1,11,Monday
20240312,2024-03-12,2024,3,March,1,1,12,Tuesday
20240313,2024-03-13,2024,3,March,1,1,13,Wednesday
20240314,2024-03-14,2024,3,March,1,1,14,Thursday
20240315,2024-03-15,2024,3,March,1,1,15,Friday
20240316,2024-03-16,2024,3,March,1,1,16,Saturday
20240317,2024-03-17,2024,3,March,1,1,17,Sunday
20240318,2024-03-18,2024,3,March,1,1,18,Monday
20240319,2024-03-19,2024,3,March,1,1,19,Tuesday
20240320,2024-03-20,2024,3,March,1,1,20,Wednesday
20240321,2024-03-21,2024,3,March,1,1,21,Thursday
20240322,2024-03-22,2024,3,March,1,1,22,Friday
20240323,2024-03-23,2024,3,March,1,1,23,Saturday
20240324,2024-03-24,2024,3,March,1,1,24,Sunday
20240325,2024-03-25,2024,3,March,1,1,25,Monday
20240326,2024-03-26,2024,3,March,1,1,26,Tuesday
20240327,2024-03-27,2024,3,March,1,1,27,Wednesday
20240328,2024-03-28,2024,3,March,1,1,28,Thursday
20240329,2024-03-29,2024,3,March,1,1,29,Friday
20240331,2024-03-31,2024,3,March,1,1,31,Sunday
20240401,2024-04-01,2024,4,April,2,1,1,Monday
20240403,2024-04-03,2024,4,April,2,1,3,Wednesday
20240404,2024-04-04,2024,4,April,2,1,4,Thursday
20240405,2024-04-05,2024,4,April,2,1,5,Friday
20240406,2024-04-06,2024,4,April,2,1,6,Saturday
20240408,2024-04-08,2024,4,April,2,1,8,Monday
20240409,2024-04-09,2024,4,April,2,1,9,Tuesday
20240410,2024-04-10,2024,4,April,2,1,10,Wednesday
20240411,2024-04-11,2024,4,April,2,1,11,Thursday
20240412,2024-04-12,2024,4,April,2,1,12,Friday
